Teff,logg,FeH,A,lambda0,b,n,W_lambda
5750,4.0,-0.0,0.584476738470384,4862.688000363406,3.6059898760455504,0.5000051244112587,16.860445898586825
5750,4.0,-0.5,0.7234970393629608,4862.68801656218,1.62144752947275,0.500000000344136,9.384899878066808
5750,4.5,0.5,0.5062051929421061,4862.759952112952,5.900789499960533,0.5000000722574339,23.89607247199602
5750,4.5,-0.0,0.5631428970391265,4862.718019048171,3.6150755846215668,0.5000004909742364,16.286387594445586
5750,4.5,-0.5,0.7241310791074529,4862.687995165525,1.5823939286859714,0.5000000002549332,9.166884971919771
5750,5.0,0.5,0.4993689624394199,4862.7599867115805,5.834682496706665,0.5000042252387842,23.308714263832783
5750,5.0,-0.0,0.5586114915154747,4862.717995361536,3.520332598598594,0.5000000097629483,15.731985074164696
5750,5.0,-0.5,0.7150327484972504,4862.683335953734,1.5178664936743256,0.5000000000000001,8.682594006590694
6000,3.5,0.5,0.6257658920991642,4862.729986499585,4.4477723991253075,0.500000000086318,22.26611409460334
6000,3.5,-0.0,0.7010901881986957,4862.694011669661,2.944317206023757,0.5000002841099889,16.51382853134054
6000,3.5,-0.5,0.8128057091307872,4862.688978510117,1.759641444816894,0.5000000000000067,11.441972898962117
6000,4.0,0.5,0.6075984222966442,4862.729992119166,4.480019890140058,0.5000022333684301,21.776147352772572
6000,4.0,-0.0,0.6871162271146821,4862.699939215898,2.8883296672611674,0.5000000017566135,15.876945310331319
6000,4.0,-0.5,0.8097866842565188,4862.6808586380475,1.4681717580080422,0.5000000000000726,9.511247518687242
6000,4.5,0.5,0.5939485030442124,4862.741936619093,4.503662456048411,0.5000020402738264,21.39930011405118
6000,4.5,-0.0,0.6682665299797556,4862.711960355506,2.789427327953206,0.5000000223035981,14.912645475751457
6000,4.5,-0.5,0.8166213692247214,4862.675174669309,1.4373955387188244,0.5000000000086752,9.390463303104957
6000,5.0,0.5,0.5886007947879142,4862.747984417174,4.400294556731664,0.5000000332886436,20.72013106171158
6000,5.0,-0.0,0.6574566832850199,4862.70596857164,2.7631626210039992,0.5000000089638965,14.533277116047723
6000,5.0,-0.5,0.8093769480756934,4862.679910583807,1.3459730264777672,0.5000000000000001,8.715196322902232
6250,3.5,0.5,0.7789716581754427,4862.706030967915,3.0679922013136744,0.5000000000000001,19.119031778613106
6250,3.5,-0.0,0.8385122442842757,4862.700778785702,2.3494283279864834,0.5000000000000531,15.760195360675237
6250,3.5,-0.5,0.8954571955528263,4862.690408271204,1.7931427060743692,0.5000000000000001,12.845460310458877
6250,4.0,0.5,0.7574217314803591,4862.711981733565,3.092294437938819,0.5000000766208688,18.73735988883419
6250,4.0,-0.0,0.8221536800862561,4862.701091106658,2.295722960389892,0.5000000000000001,15.099496642744505
