# Wavelength_Angstrom  Normalized_Flux
4.809800011337199976e+03 9.296013116836547852e-01
4.809850011337899559e+03 9.893330335617065430e-01
4.809900011338600052e+03 1.005351185798645020e+00
4.809950011339299635e+03 1.012594103813171387e+00
4.810000011340000128e+03 1.001077771186828613e+00
4.810050011340699712e+03 9.983815550804138184e-01
4.810100011341400204e+03 9.873884320259094238e-01
4.810150011342099788e+03 9.791316390037536621e-01
4.810200011342800281e+03 9.400554299354553223e-01
4.810250011343499864e+03 8.156324625015258789e-01
4.810300011344200357e+03 6.150769591331481934e-01
4.810350011344899940e+03 5.776429176330566406e-01
4.810400011345600433e+03 7.601737380027770996e-01
4.810450011346300016e+03 9.087705612182617188e-01
4.810500011346999599e+03 9.477757215499877930e-01
4.810550011347700092e+03 9.601377248764038086e-01
4.810600011348399676e+03 9.776363372802734375e-01
4.810650011349100168e+03 1.000718712806701660e+00
4.810700011349799752e+03 9.983664751052856445e-01
4.810750011350500245e+03 9.735910296440124512e-01
4.810800011351199828e+03 9.342827200889587402e-01
4.810850011351900321e+03 9.035779237747192383e-01
4.810900011352599904e+03 9.454103112220764160e-01
4.810950011353299487e+03 9.898049235343933105e-01
4.811000011353999980e+03 1.007359623908996582e+00
4.811050011354700473e+03 9.940174818038940430e-01
4.811100011355400056e+03 9.632687568664550781e-01
4.811150011356099640e+03 9.410845637321472168e-01
4.811200011356800132e+03 9.593574404716491699e-01
4.811250011357499716e+03 9.780452251434326172e-01
4.811300011358200209e+03 1.000087738037109375e+00
4.811350011358899792e+03 1.015326976776123047e+00
4.811400011359600285e+03 1.019104957580566406e+00
4.811450011360299868e+03 1.029617786407470703e+00
4.811500011361000361e+03 1.016618371009826660e+00
4.811550011361699944e+03 1.008715033531188965e+00
4.811600011362399528e+03 9.925091266632080078e-01
4.811650011363100020e+03 9.729770421981811523e-01
4.811700011363799604e+03 9.384827017784118652e-01
4.811750011364500097e+03 8.837591409683227539e-01
4.811800011365199680e+03 8.753166198730468750e-01
4.811850011365900173e+03 9.223133921623229980e-01
4.811900011366599756e+03 9.761732816696166992e-01
4.811950011367300249e+03 9.818392395973205566e-01
4.812000011367999832e+03 9.432740807533264160e-01
4.812050011368700325e+03 8.769461512565612793e-01
4.812100011369399908e+03 8.156865835189819336e-01
4.812150011370100401e+03 7.909346222877502441e-01
4.812200011370799984e+03 8.604839444160461426e-01
4.812250011371499568e+03 9.456393718719482422e-01
4.812300011372200061e+03 9.979944229125976562e-01
4.812350011372899644e+03 1.010220050811767578e+00
4.812400011373600137e+03 1.011467814445495605e+00
4.812450011374299720e+03 1.017776131629943848e+00
4.812500011375000213e+03 1.018666625022888184e+00
4.812550011375699796e+03 1.007757663726806641e+00
4.812600011376400289e+03 9.916170835494995117e-01
4.812650011377099872e+03 9.646108746528625488e-01
4.812700011377800365e+03 9.441906809806823730e-01
4.812750011378499948e+03 9.334214925765991211e-01
4.812800011379200441e+03 9.293053746223449707e-01
